Date,Open,High,Low,Close,Adj Close,Volume
2024-03-26,479.059998,479.369995,476.429993,476.600006,476.600006,8073500
2024-03-27,479.510010,480.869995,477.450012,480.760010,480.760010,4951400
2024-03-28,480.869995,482.160004,480.500000,480.700012,480.700012,4065000
2024-04-01,481.440002,481.959991,478.829987,480.070007,480.070007,5734000
2024-04-02,476.329987,476.989990,474.709991,476.929993,476.929993,4817800
2024-04-03,475.839996,478.799988,475.790009,477.359985,477.359985,6218200
2024-04-04,481.200012,481.480011,471.269989,471.480011,471.480011,6871200
2024-04-05,472.850006,478.329987,472.420013,476.489990,476.489990,5582200
