Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,392.720001,394.130005,392.720001,393.519989,377.062836,3795900
2021-07-01,394.299988,395.850006,394.209991,395.739990,379.190002,3414500
2021-07-02,396.850006,399.049988,396.529999,398.750000,382.074127,4363100
2021-07-06,398.769989,398.989990,395.299988,398.000000,381.355499,4331300
2021-07-07,398.670013,399.660004,396.679993,399.369995,382.668182,4747800
2021-07-08,394.200012,396.880005,393.019989,396.190002,379.621155,5817100
2021-07-09,397.630005,400.649994,397.420013,400.369995,383.626404,3332200
2021-07-12,400.299988,402.029999,399.869995,401.820007,385.015778,2929200
2021-07-13,401.079987,402.500000,400.179993,400.459991,383.712616,4313100
2021-07-14,402.059998,402.570007,399.820007,401.010010,384.239594,3332200
2021-07-15,399.739990,400.380005,397.809998,399.720001,383.003571,4483900
2021-07-16,400.839996,400.880005,396.140015,396.609985,380.023682,4516600
2021-07-19,391.779999,392.260010,387.929993,390.679993,374.341583,12336200
2021-07-20,391.350006,397.500000,390.010010,396.200012,379.630798,4043100
2021-07-21,397.480011,399.619995,397.269989,399.529999,382.821472,2996600
2021-07-22,399.709991,400.559998,398.700012,400.380005,383.635925,2575700
2021-07-23,402.170013,404.750000,401.579987,404.380005,387.468658,3151900
2021-07-26,403.920013,405.420013,403.820007,405.410004,388.455627,2374300
2021-07-27,404.450012,404.450012,400.799988,403.609985,386.730835,3626100
2021-07-28,404.170013,404.760010,402.040009,403.390015,386.520111,3763700
2021-07-29,404.359985,406.130005,404.350006,405.130005,388.187286,2274200
2021-07-30,402.589996,404.529999,402.470001,403.149994,386.290070,5204500
2021-08-02,404.779999,405.359985,401.940002,402.329987,385.504395,5814700
2021-08-03,403.079987,405.660004,400.920013,405.579987,388.618500,4129600
2021-08-04,404.309998,404.859985,403.339996,403.640015,386.759583,3880200
2021-08-05,404.700012,406.190002,404.380005,406.160004,389.174255,3052800
2021-08-06,406.440002,407.179993,406.170013,406.859985,389.844971,2486900
2021-08-09,406.750000,407.049988,405.690002,406.470001,389.471283,1984400
