Date,Open,High,Low,Close,Adj Close,Volume
10/8/2021,404.040009,404.390015,401.940002,402.48999,388.166809,3960900
10/11/2021,401.910004,404.73999,399.559998,399.559998,385.341034,3695700
10/12/2021,400.549988,400.920013,397.869995,398.76001,384.56955,6201300
10/13/2021,399.640015,400.880005,396.75,400.040009,385.804016,6492400
10/14/2021,403.700012,406.950012,403.220001,406.76001,392.284882,3785200
10/15/2021,408.920013,410.26001,408.279999,409.929993,395.342041,3501600
10/18/2021,408.200012,411.459991,407.529999,411.179993,396.547546,3402700
10/19/2021,412.73999,414.380005,412.140015,414.380005,399.633667,2838300
10/20/2021,414.73999,416.220001,414.649994,415.98999,401.186371,3208200
10/21/2021,415.380005,417.23999,414.940002,417.01001,402.170074,2579500
10/22/2021,416.579987,418,414.700012,416.589996,401.765045,3648900
10/25/2021,417.640015,419.140015,415.929993,418.75,403.848145,2511500
10/26/2021,420.269989,421.529999,418.859985,419.149994,404.233917,3085300
10/27/2021,419.660004,420.290009,417.279999,417.329987,402.478699,2873500
10/28/2021,418.779999,421.440002,418.75,421.410004,406.413483,3643600
10/29/2021,419.149994,422.519989,418.869995,422.160004,407.136841,4637400
11/1/2021,423.190002,423.570007,421.279999,423.049988,407.995117,3937300
11/2/2021,423.149994,424.959991,423.01001,424.690002,409.576752,2989200
11/3/2021,424.140015,427.660004,423.690002,427.25,412.045624,3562900
11/4/2021,427.850006,429.369995,427.540009,429.25,413.974518,4287300
11/5/2021,431.549988,432.76001,429.299988,430.709991,415.382568,4942900
11/8/2021,431.880005,432.339996,430.5,431.230011,415.884064,3511600
11/9/2021,431.559998,431.75,428.339996,429.720001,414.427795,4696000
11/10/2021,428.089996,429.730011,424.809998,426.26001,411.090973,6350700
11/11/2021,427.700012,427.820007,426.390015,426.399994,411.225952,3634600
11/12/2021,427.660004,430.170013,426.730011,429.570007,414.283081,3655500
11/15/2021,430.950012,431.01001,428.649994,429.769989,414.475983,3122300
11/16/2021,429.519989,432.589996,429.470001,431.410004,416.057617,3267000
11/17/2021,431.23999,431.390015,429.839996,430.369995,415.054657,3764900
11/18/2021,431.440002,432.170013,428.799988,431.859985,416.491577,4732200
11/19/2021,431.869995,432.98999,430.380005,431.049988,415.710419,4886200
11/22/2021,432.929993,435.410004,429.720001,429.910004,414.611023,4868300
11/23/2021,429.570007,431.290009,427.040009,430.470001,415.151093,6795200
11/24/2021,428.559998,431.75,427.709991,431.529999,416.17334,4569600
11/26/2021,425.190002,426.519989,420.899994,422.140015,407.117493,7702500
11/29/2021,426.709991,428.980011,424.549988,427.23999,412.036041,6300800
11/30/2021,424.799988,426.630005,418.630005,419.059998,404.147125,8657600
12/1/2021,424.470001,427.220001,413.970001,414.23999,399.498596,8337000
12/2/2021,414.420013,422.059998,414.029999,420.559998,405.59375,10417700
12/3/2021,422.119995,423.190002,412.769989,416.839996,402.006134,10228900
12/6/2021,419.410004,423.660004,417,421.820007,406.808929,7289500
12/7/2021,426.980011,431.100006,426.940002,430.48999,415.170349,4731900
12/8/2021,430.950012,432.140015,429.23999,431.700012,416.337311,4476500
12/9/2021,430.459991,431.320007,428.609985,428.76001,413.501923,5035400
12/10/2021,431.440002,432.959991,428.950012,432.850006,417.446381,6238300
12/13/2021,432.359985,432.660004,428.75,429.01001,413.743042,5923900
12/14/2021,425.799988,428.23999,423.200012,426.089996,410.926941,6522900
12/15/2021,426.109985,432.980011,423.670013,432.75,417.349915,6871300
12/16/2021,434.559998,434.799988,427.350006,428.839996,413.579071,7159500
12/17/2021,425.850006,428.790009,422.670013,424.390015,409.287445,8882700
12/20/2021,419.390015,420.220001,416.299988,419.799988,404.860748,9903400
12/21/2021,421.649994,425.850006,419.519989,425.690002,412.045868,6916700
12/22/2021,425.450012,430.089996,425.320007,429.98999,416.208069,4992200
12/23/2021,430.910004,434.100006,430.869995,432.640015,418.773132,5032700
12/27/2021,433.980011,438.820007,433.950012,438.809998,424.745331,4986300
